mode,assumption,side,metric,dimension,delta,size,communication_mb,runtime_s
normal,uniqCel,recv,0,2,32,256,2.64,0.23
normal,uniqCel,recv,0,2,64,256,3.32,0.24
normal,uniqCel,recv,0,2,128,256,4.68,0.25
normal,uniqCel,recv,0,2,256,256,7.39,0.29
normal,uniqCel,recv,0,2,512,256,12.83,0.41
prefix,uniqCel,recv,0,2,32,256,3.26,0.45
prefix,uniqCel,recv,0,2,64,256,3.34,0.43
prefix,uniqCel,recv,0,2,128,256,3.41,0.45
prefix,uniqCel,recv,0,2,256,256,3.76,0.45
prefix,uniqCel,recv,0,2,512,256,3.76,0.48
normal,uniqCel,recv,0,4,32,256,8.66,0.41
normal,uniqCel,recv,0,4,64,256,10.02,0.41
normal,uniqCel,recv,0,4,128,256,12.73,0.51
normal,uniqCel,recv,0,4,256,256,18.17,0.67
normal,uniqCel,recv,0,4,512,256,29.05,0.73
prefix,uniqCel,recv,0,4,32,256,15.22,1.22
prefix,uniqCel,recv,0,4,64,256,15.57,1.12
prefix,uniqCel,recv,0,4,128,256,15.57,1.14
prefix,uniqCel,recv,0,4,256,256,15.91,1.12
prefix,uniqCel,recv,0,4,512,256,16.25,1.16
normal,uniqCel,recv,0,6,32,256,39.43,1.56
normal,uniqCel,recv,0,6,64,256,41.47,1.43
normal,uniqCel,recv,0,6,128,256,45.55,1.51
normal,uniqCel,recv,0,6,256,256,53.70,1.71
normal,uniqCel,recv,0,6,512,256,70.07,2.08
prefix,uniqCel,recv,0,6,32,256,82.96,5.31
prefix,uniqCel,recv,0,6,64,256,83.06,5.67
prefix,uniqCel,recv,0,6,128,256,83.30,5.20
prefix,uniqCel,recv,0,6,256,256,83.82,5.41
prefix,uniqCel,recv,0,6,512,256,84.32,5.38
normal,uniqCel,recv,0,2,32,4096,24.72,0.96
normal,uniqCel,recv,0,2,64,4096,35.60,0.94
normal,uniqCel,recv,0,2,128,4096,57.37,1.43
normal,uniqCel,recv,0,2,256,4096,100.93,2.05
normal,uniqCel,recv,0,2,512,4096,188.10,3.74
prefix,uniqCel,recv,0,2,32,4096,31.39,2.11
prefix,uniqCel,recv,0,2,64,4096,32.75,2.16
prefix,uniqCel,recv,0,2,128,4096,34.11,2.25
prefix,uniqCel,recv,0,2,256,4096,36.84,2.12
prefix,uniqCel,recv,0,2,512,4096,39.54,2.26
normal,uniqCel,recv,0,4,32,4096,120.46,3.92
normal,uniqCel,recv,0,4,64,4096,142.23,4.34
normal,uniqCel,recv,0,4,128,4096,185.79,4.99
normal,uniqCel,recv,0,4,256,4096,272.97,6.48
normal,uniqCel,recv,0,4,512,4096,447.41,9.61
prefix,uniqCel,recv,0,4,32,4096,223.36,14.45
prefix,uniqCel,recv,0,4,64,4096,226.09,13.69
prefix,uniqCel,recv,0,4,128,4096,228.79,14.60
prefix,uniqCel,recv,0,4,256,4096,234.23,13.85
prefix,uniqCel,recv,0,4,512,4096,239.67,14.81
normal,uniqCel,recv,0,6,32,4096,612.81,21.77
normal,uniqCel,recv,0,6,64,4096,645.52,22.00
normal,uniqCel,recv,0,6,128,4096,710.97,22.25
normal,uniqCel,recv,0,6,256,4096,841.95,24.60
normal,uniqCel,recv,0,6,512,4096,1104.05,29.58
prefix,uniqCel,recv,0,6,32,4096,1311.18,80.01
prefix,uniqCel,recv,0,6,64,4096,1315.26,80.14
prefix,uniqCel,recv,0,6,128,4096,1319.33,82.16
prefix,uniqCel,recv,0,6,256,4096,1327.52,80.28
prefix,uniqCel,recv,0,6,512,4096,1335.70,81.44
normal,uniqCel,recv,0,2,32,65536,377.35,10.79
normal,uniqCel,recv,0,2,64,65536,551.79,13.15
normal,uniqCel,recv,0,2,128,65536,900.81,19.00
normal,uniqCel,recv,0,2,256,65536,1599.34,37.03
normal,uniqCel,recv,0,2,512,65536,2996.97,59.56
prefix,uniqCel,recv,0,2,32,65536,483.52,28.61
prefix,uniqCel,recv,0,2,64,65536,505.41,29.10
prefix,uniqCel,recv,0,2,128,65536,527.06,29.72
prefix,uniqCel,recv,0,2,256,65536,570.86,30.17
prefix,uniqCel,recv,0,2,512,65536,614.18,30.28
normal,uniqCel,recv,0,4,32,65536,1909.78,59.38
normal,uniqCel,recv,0,4,64,65536,2258.83,64.31
normal,uniqCel,recv,0,4,128,65536,2957.36,78.68
normal,uniqCel,recv,0,4,256,65536,4354.93,103.90
normal,uniqCel,recv,0,4,512,65536,7151.31,157.46
prefix,uniqCel,recv,0,4,32,65536,3577.83,211.56
prefix,uniqCel,recv,0,4,64,65536,3621.63,219.71
prefix,uniqCel,recv,0,4,128,65536,3664.95,218.80
prefix,uniqCel,recv,0,4,256,65536,3752.61,219.09
prefix,uniqCel,recv,0,4,512,65536,3839.31,229.93
normal,uniqCel,recv,0,6,32,65536,9790.15,331.51
normal,uniqCel,recv,0,6,64,65536,10314.64,339.08
normal,uniqCel,recv,0,6,128,65536,11364.13,362.54
normal,uniqCel,recv,0,6,256,65536,13464.23,400.39
normal,uniqCel,recv,0,6,512,65536,17666.67,477.81
prefix,uniqCel,recv,0,6,32,65536,21118.37,1351.75
prefix,uniqCel,recv,0,6,64,65536,21183.78,1372.92
prefix,uniqCel,recv,0,6,128,65536,21249.35,1367.30
prefix,uniqCel,recv,0,6,256,65536,21380.25,1394.17
prefix,uniqCel,recv,0,6,512,65536,21511.43,1349.09
